품종,크기(체중에따른),크기(라벨링),나이,산책시간(시간),체중,적정음수량,성별,중성화여부,색상
라브라도리트리버,대,2,5,1.5,20,1300,F,U,크림색
라브라도리트리버,대,2,5,1.5,25,1625,F,U,갈백
라브라도리트리버,대,2,5,1.5,25,1625,F,U,갈백
라브라도리트리버,대,2,5,1.5,25,1625,M,N,황색
라브라도리트리버,대,2,5,1.5,25,1625,F,U,검정색
라브라도리트리버,대,2,5,1.5,25,1625,M,N,검정
라브라도리트리버,대,2,5,1.5,25,1625,M,N,크림색
라브라도리트리버,대,2,5,1.5,26,1690,M,N,크림색
라브라도리트리버,대,2,5,1.5,26.98,1753.7,M,N,크림
라브라도리트리버,대,2,5,1.5,30.01,1950.65,M,N,크림
라브라도리트리버,대,2,5,1.5,31,2015,M,N,갈/흰
라브라도리트리버,대,2,5,1.5,35,2275,M,N,크림색
라브라도리트리버,대,2,5,1.5,37,2405,M,N,흑색
라브라도리트리버,대,2,4,1.5,23,1495,F,N,검정색
라브라도리트리버,대,2,4,1.5,25,1625,F,N,크림색
라브라도리트리버,대,2,4,1.5,30,1950,M,U,검은색
라브라도리트리버,대,2,4,1.5,32.4,2106,M,N,검정
라브라도리트리버,대,2,4,1.5,37.8,2457,F,N,아이보리색
라브라도리트리버,대,2,4,1.5,40,2600,M,N,검
라브라도리트리버,대,2,4,1.5,43,2795,F,U,황색
라브라도리트리버,대,2,3,1.5,20,1300,F,N,크림색
라브라도리트리버,대,2,3,1.5,21,1365,F,U,갈색
라브라도리트리버,대,2,3,1.5,22,1430,F,U,검
라브라도리트리버,대,2,3,1.5,23,1495,M,U,갈색
라브라도리트리버,대,2,3,1.5,25,1625,F,U,흑
라브라도리트리버,대,2,3,1.5,25,1625,M,N,연갈색
라브라도리트리버,대,2,3,1.5,25,1625,M,N,갈/노
라브라도리트리버,대,2,3,1.5,26.5,1722.5,M,N,크림색
라브라도리트리버,대,2,3,1.5,27,1755,M,N,검정
라브라도리트리버,대,2,3,1.5,27,1755,M,N,흰갈색
라브라도리트리버,대,2,3,1.5,28,1820,M,N,흰/노
라브라도리트리버,대,2,3,1.5,28,1820,M,N,흑색
라브라도리트리버,대,2,3,1.5,30,1950,M,N,갈백
라브라도리트리버,대,2,3,1.5,30,1950,M,Y,갈/흰
라브라도리트리버,대,2,3,1.5,30,1950,F,N,갈색
라브라도리트리버,대,2,3,1.5,30,1950,F,Y,황색
라브라도리트리버,대,2,3,1.5,30,1950,M,N,크림색
라브라도리트리버,대,2,3,1.5,32,2080,M,Y,크림색
라브라도리트리버,대,2,3,1.5,32,2080,F,U,흰색
라브라도리트리버,대,2,3,1.5,33,2145,M,N,검
라브라도리트리버,대,2,3,1.5,40,2600,M,N,갈색
라브라도리트리버,대,2,3,1.5,40,2600,M,U,검정
라브라도리트리버,대,2,3,1.5,43,2795,M,N,크림색
라브라도리트리버,대,2,2,1.5,20,1300,M,N,검
라브라도리트리버,대,2,2,1.5,20,1300,M,N,검정
라브라도리트리버,대,2,2,1.5,20,1300,F,U,갈색
라브라도리트리버,대,2,2,1.5,23.7,1540.5,M,Y,크림색
라브라도리트리버,대,2,2,1.5,25,1625,F,N,크림색
라브라도리트리버,대,2,2,1.5,25,1625,M,N,검
라브라도리트리버,대,2,2,1.5,25,1625,M,N,검
라브라도리트리버,대,2,2,1.5,25,1625,M,N,검
라브라도리트리버,대,2,2,1.5,25,1625,M,N,갈백
라브라도리트리버,대,2,2,1.5,26,1690,M,N,흰색
라브라도리트리버,대,2,2,1.5,27,1755,M,N,흰색
라브라도리트리버,대,2,2,1.5,28,1820,M,N,검
