품종,나이,산책시간(시간),체중,성별,중성화여부,색상
말라뮤트,4,1,38,M,U,갈색
말라뮤트,3,1,20,M,N,검정.흰색
말라뮤트,3,1,26,F,U,흰검정색
말라뮤트,3,1,27,F,U,흰검정색
말라뮤트,3,1,28,F,U,검/갈/흰
말라뮤트,3,1,34,F,U,"검정,흰색"
말라뮤트,2,1,35,F,U,갈/검/흰
말라뮤트,2,1,38,M,U,"흰색,검정"
말라뮤트,0,0.8,15,M,N,갈/흰
말티즈,18,0.5,1.5,M,N,백색
말티즈,17,0.5,1.4,F,U,흰색
말티즈,17,0.5,4.3,M,Y,흰색
말티즈,15,0.5,2,F,U,백
말티즈,15,0.5,2.6,F,N,흰색
말티즈,15,0.5,3,F,U,백색
말티즈,15,0.5,4.1,M,Y,백색
말티즈,14,0.5,3,F,U,백
말티즈,14,0.5,3.5,M,Y,흰색
말티즈,13,0.5,2.3,F,N,흰색
말티즈,13,0.5,2.5,M,N,백색
말티즈,13,0.5,2.6,F,N,흰색
말티즈,13,0.5,3,M,Y,흰색
말티즈,13,0.5,3.6,M,N,흰색
말티즈,12,0.5,1.5,F,U,흰색
말티즈,12,0.5,2,F,N,흰색
말티즈,12,0.5,2,M,N,흰색
말티즈,12,0.5,2.1,F,N,흰색
말티즈,12,0.5,2.4,F,N,흰색
말티즈,12,0.5,2.5,M,Y,흰색
말티즈,12,0.5,2.6,F,U,백색
말티즈,12,0.5,2.7,M,Y,흰색
말티즈,12,0.5,3,M,Y,백
말티즈,12,0.5,3.1,M,N,백색
말티즈,12,0.5,3.6,M,U,흰색
말티즈,12,0.5,3.6,M,Y,백색
말티즈,12,0.5,3.8,M,N,흰색
말티즈,12,0.5,5,F,Y,백
말티즈,11,0.5,2.9,F,U,흰색
말티즈,10,0.5,1.8,F,U,흰
말티즈,10,0.5,1.94,F,U,흰색
말티즈,10,0.5,2,F,U,흰색
말티즈,10,0.5,2,F,U,갈
말티즈,10,0.5,2.4,F,Y,흰색
말티즈,10,0.5,2.5,M,Y,흰색
말티즈,10,0.5,2.5,M,Y,흰색
말티즈,10,0.5,2.7,M,Y,백
말티즈,10,0.5,3,Q,U,흰색
말티즈,10,0.5,3,M,N,흰색
말티즈,10,0.5,3,F,N,흰색
말티즈,10,0.5,3,M,Y,흰색
말티즈,10,0.5,3.2,M,N,흰
말티즈,10,0.5,3.5,F,U,백
말티즈,10,0.5,3.5,M,Y,백색
말티즈,10,0.5,3.7,F,Y,하양
말티즈,10,0.5,3.7,F,U,흰
말티즈,10,0.5,3.8,F,N,흰색
말티즈,10,0.5,4,M,Y,흰색
말티즈,10,0.5,4,M,Y,백
말티즈,10,0.5,4.4,M,N,흰
말티즈,10,0.5,5,M,Y,흰색
말티즈,10,0.5,5,M,N,백
말티즈,10,0.5,5,M,U,화이트
말티즈,10,0.5,9,M,Y,백색
말티즈,9,0.5,2.4,F,Y,흰색
말티즈,9,0.5,3,F,U,흰색
말티즈,9,0.5,3,F,U,백
말티즈,9,0.5,3,M,Y,백
말티즈,9,0.5,3.1,F,U,흰
말티즈,9,0.5,3.2,F,U,백색
말티즈,9,0.5,3.3,M,Y,흰색
말티즈,9,0.5,3.6,M,Y,흰색
말티즈,9,0.5,3.6,M,Y,흰색
말티즈,9,0.5,3.8,M,N,흰색
말티즈,9,0.5,4.6,M,Y,백색
말티즈,9,0.5,5,M,Y,백색
말티즈,9,0.5,5,M,N,흰색
말티즈,9,0.5,5.5,M,N,백색
말티즈,9,0.5,6.5,M,Y,백
말티즈,8,0.5,1.5,F,N,흰색
말티즈,8,0.5,1.8,M,Y,흰색
말티즈,8,0.5,2.5,M,Y,백색
말티즈,8,0.5,2.5,M,N,흰색
말티즈,8,0.5,2.5,F,U,흰
말티즈,8,0.5,3,M,Y,백
말티즈,8,0.5,3.2,F,U,흰
말티즈,8,0.5,3.3,M,N,흰
말티즈,8,0.5,3.4,F,N,흰색
말티즈,8,0.5,3.5,M,Y,흰색
말티즈,8,0.5,3.8,M,Y,흰
말티즈,8,0.5,3.9,F,N,흰색
말티즈,8,0.5,4,F,N,흰색
말티즈,8,0.5,4,M,Y,흰색
말티즈,8,0.5,4.2,M,N,흰색
말티즈,8,0.5,4.2,M,Y,흰
말티즈,8,0.5,4.3,M,N,흰색
말티즈,8,0.5,4.5,M,Y,흰색
말티즈,8,0.5,4.6,M,Y,흰색
말티즈,8,0.5,4.8,F,U,흰색
말티즈,8,0.5,4.8,F,N,흰색
말티즈,8,0.5,4.9,M,N,흰색
말티즈,8,0.5,5,M,Y,백
말티즈,8,0.5,6.4,M,N,백색
말티즈,7,0.8,1.5,M,Y,흰
말티즈,7,0.8,1.9,F,U,흰
말티즈,7,0.8,2,M,Y,흰색
말티즈,7,0.8,2,F,N,흰색
말티즈,7,0.8,2.2,M,N,흰
말티즈,7,0.8,2.5,F,U,흰색
말티즈,7,0.8,2.7,M,Y,흰
말티즈,7,0.8,2.9,F,U,백
말티즈,7,0.8,3,F,U,흰색
말티즈,7,0.8,3,M,Y,백색
말티즈,7,0.8,3.16,F,U,백색
