업체명,업체구분,도시,위도,경도
망상해변,관광지,동해시,37.59225327,129.0897
대진해수욕장,관광지,동해시,37.58149301,129.1092
추암조각공원,관광지,동해시,37.47991814,129.1569
추암촛대바위,관광지,동해시,37.47899434,129.1586
묵호등대,관광지,동해시,37.55384198,129.1182
올리브펜션,숙박지,동해시,37.57391445,129.1167
동쪽바다프리미엄하우스(카페앤라씨),숙박지,동해시,37.58017422,129.1131
너랑온펜션,숙박지,동해시,37.59091793,129.0893
망상파크펜션,숙박지,동해시,37.59117725,129.0886
추암해변,관광지,동해시,37.47725691,129.1592
요선암 돌개구멍,관광지,영월군,37.29727759,128.2619
정선 병방치 스카이워크,관광지,정선군,37.36235936,128.6354
정선 레일바이크,관광지,정선군,37.5170461,128.7304
삼척 장미공원,관광지,삼척시,37.43347057,129.1767
덕산해변,관광지,삼척시,37.38622893,129.24
맹방해변,관광지,삼척시,37.38975176,129.232
장호항,관광지,삼척시,37.28643781,129.3179
삼척 미로(未老)정원,관광지,삼척시,37.44403349,129.0712
삼척해양레일바이크,관광지,삼척시,37.32364924,129.2664
장호비치캠핑장,숙박지,삼척시,37.28456,129.3124
메이힐스리조트,숙박지,정선군,37.21146751,128.8353
EST펜션,숙박지,속초시,38.21650162,128.5954
아바이마을,관광지,속초시,38.20061796,128.5948
바다향기펜션,숙박지,속초시,38.17869301,128.6041
설악해맞이공원,관광지,속초시,38.16315084,128.6085
청초호 호수공원,관광지,속초시,38.19192935,128.5865
영금정,관광지,속초시,38.2118456,128.6014
등대해수욕장,관광지,속초시,38.21360489,128.6006
사천진항,관광지,강릉시,37.83654014,128.8783
순긋해변,관광지,강릉시,37.81675944,128.8931
강릉커피거리,관광지,강릉시,37.77257827,128.9473
경포해변,관광지,강릉시,37.80567878,128.9074
모래시계공원,관광지,강릉시,37.68699969,129.0382
정동진,관광지,강릉시,37.69471431,129.0109
순포해변,관광지,강릉시,37.82284256,128.886
강릉항,관광지,강릉시,37.7713846,128.9517
사천해변,관광지,강릉시,37.82915762,128.8778
송정해변,관광지,강릉시,37.77679581,128.9372
영진해변,관광지,강릉시,37.86895106,128.845
주문진해변,관광지,강릉시,37.91013153,128.8177
월화거리,관광지,강릉시,37.75414048,128.8997
하슬라아트월드,관광지,강릉시,37.70545629,129.0078
주문진항,관광지,강릉시,37.89191073,128.8302
안인항,관광지,강릉시,37.73609022,128.9886
하평해변,관광지,강릉시,37.84414459,128.872
영진항,관광지,강릉시,37.86801257,128.8479
강문솟대다리,관광지,강릉시,37.79777324,128.9167
강문해변,관광지,강릉시,37.79475498,128.9189
안목해변,관광지,강릉시,37.77365175,128.946
사근진해변,관광지,강릉시,37.81250898,128.8983
세인트존스호텔,숙박지,강릉시,37.79128075,128.9209
세인트존스호텔 파인풀,관광지,강릉시,37.79128075,128.9209
소돌해변,관광지,강릉시,37.90680516,128.8267
남애항 스카이워크 전망대,관광지,양양군,37.94484473,128.7885
죽도정,관광지,양양군,37.97134592,128.7627
죽도해수욕장,관광지,양양군,37.97215912,128.7617
남애항,관광지,양양군,37.94492468,128.7871
낙산해수욕장,관광지,양양군,38.11692058,128.6339
남애3리해수욕장,관광지,양양군,37.94595038,128.7839
설악해수욕장,관광지,양양군,38.12420744,128.63
휴휴암,관광지,양양군,37.96106629,128.7674
지경리해수욕장,관광지,양양군,37.9239813,128.7993
